analysis_key,question_text,target_question,item,company_size_class,answer,n,total,pct,denom_type
i40_einsatz,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,"Traceability - Technologien (z. B. RFID, Barcode, QR - Code)",KMU,Im Einsatz,12,23,52.17391304347826,total
i40_einsatz,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,"Traceability - Technologien (z. B. RFID, Barcode, QR - Code)",KMU,In Planung,8,23,34.78260869565217,total
i40_einsatz,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,"Traceability - Technologien (z. B. RFID, Barcode, QR - Code)",GU,Im Einsatz,36,45,80.0,total
i40_einsatz,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,"Traceability - Technologien (z. B. RFID, Barcode, QR - Code)",GU,In Planung,3,45,6.666666666666667,total
i40_einsatz,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,"Sensorik in Produkten (z.B. Druck, Drehzahl, Temperatur, ...)",KMU,Im Einsatz,12,23,52.17391304347826,total
i40_einsatz,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,"Sensorik in Produkten (z.B. Druck, Drehzahl, Temperatur, ...)",KMU,In Planung,4,23,17.391304347826086,total
i40_einsatz,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,"Sensorik in Produkten (z.B. Druck, Drehzahl, Temperatur, ...)",GU,Im Einsatz,29,45,64.44444444444444,total
i40_einsatz,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,"Sensorik in Produkten (z.B. Druck, Drehzahl, Temperatur, ...)",GU,In Planung,5,45,11.11111111111111,total
i40_einsatz,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,"Sensorik in Maschinen (Z.B. Strom - oder Druckluftverbrauch, ...)",KMU,Im Einsatz,16,23,69.56521739130434,total
i40_einsatz,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,"Sensorik in Maschinen (Z.B. Strom - oder Druckluftverbrauch, ...)",KMU,In Planung,3,23,13.043478260869565,total
